Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
44;MANDARINE;"R. OBLIGADO Y SARMIENTO";sin nº;10611/05;1613 personas;"""C""";RENOVADO 2012;47;38434;24;40974;;;38;39895
45;LA DIOSA-VIDU;R. OBLIGADO ;3731;10604/05;1558 personas;"""C""";RENOVADO 2012;48;38434;123;41169;;;107;40815
46;EL FOGÓN;AGÜERO ;512;13661/05;274 personas;"""C.C""";BAJA INSC: Disp N°94/12;49;38434;46;40991;;;55;38799
47;SALON AGUSTEO;SARMIENTO ;1374;10587/05;;ART 1º;"BAJA INSC: Disp. Nº 30/DGHP/2008";50;38434;;;;;;
48;FANTASTICO;AV. RIVADAVIA ;3469;10660/05;1270 personas;"""C""";RENOVADO 2012;51;38443;90;41087;10;38762;160;38708
49;ROXY CLUB;F. LACROZE ;3453;10621/05;1584 personas;"""C.C""";RENOVADO 2012;52;38443;100;41117;;;7;38721
50;PAGANA;VICENTE LOPEZ ;2134;13361/05;364 personas;"""C.C""";RENOVADO 2012;53;38463;74;41053; ;;66;38828
51;POPULARISIMO ;BARTOLOME MITRE ;2737;10662/05;200 personas;"""C""";BAJA DE INSCRIPCION ;4;39127;71;38842;;;71;38842
52;EL PICAFLOR;AV. CORRIENTES ;3530;10580/05;662 personas;"""C""";RENOVADO 2012;56;38476;98;41109;69;38841;84;39304
53;DOME;AV CABILDO ;4665;14497/05;1297 personas;"""C""";RENOVADO 2012;57;38476;69;41045;;;122;38582
54;THE SHAMROCK;RODRIGUEZ PEÑA ;1220;10556/05;396 personas;"""C.C""";RENOVADO 2012;64;38490;72;41051;;;63;38849
55;CLUB 74;"FIGUEROA ALCORTA ";7474;10836/05;180 personas;"""B""";RENOVADO 2012;65;38490;77;41068;;;76;38869
56;MONTECARLO;MEXICO ;1861/63;10673/05;460 personas;"""C""";RENOVADO 2012;66;38511;79;41068;;;6;38727
57;PHUKET;AV. LA PLATA  ;731/33;20810/05;1593 personas;"""C.C""";RENOVADO 2012;67;38511;78;41068;;;67;38511
58;CATTOS;SUIPACHA ;930;20218/05;100 personas;"""C.C""";RENOVADO 2012;68;38511;80;41068;;;93;38568
59;INK;NICETO VEGA  ;5635;20819/05;409 personas;"""C.C""";RENOVADO 2012;69;38511;93;41089;;;79;38877
60;RADIO STUDIO;O`BRIEN ;1232;20814/05;3050 personas;"""C""";RENOVADO 2012;72;38516;111;41142;;;104;39779
61;EL TEATRITO;SARMIENTO ;777;24459/05;538 personas;"""C""";"BAJA  INSC: Disp. Conjunta 92/2010";74;38520;105;40136;;;127;39038
62;AMERIKA;GASCON  ;1036;10601/05;1866 personas;"""C""";RENOVADO 2011;84;38547;133;40865;;;;
63;REQUIEM GOTIC;AV. DE MAYO  ;948;24460/05;186 personas;"""C.C""";INSCRIPCION VENCIDA;85;38552;90;38908;;;19;38782
64;GREAT CITY;RECONQUISTA;876/78;14498/05;208 personas;"""C.C""";RENOVADO 2012;87;38555;101;41120;;;5;38727
65;PACHA;"COSTANERA Y PAMPA";sin nº;30712/05;1942 personas;"""C""";RENOVADO 2012;91;38562;109;41138;;;105;40410
66;MADAHOS;AZCUENAGA;1902;14781/05;396 personas;"""C""";RENOVADO 2012;128;38610;125;41180;;;128;38610
67;THE FLOWER;AGÜERO;445;46266/05;405 personas;"""C""";RENOVADO 2011;156;38674;135;40865;;;156;38674
68;LE CLICK;AV. RIVADAVIA;1908/12;50478/05;990 personas;"""C.C""";RENOVADO 2011;159;38700;142;40883;;;159;38700
69;MBURUCUYA;SALTA;1736/48;61556/05;1140 personas;CLUB ART 1º;RENOVADO 2012;7;38730;4;40942;;;7;38730
70;ASBURY ROCK;RIVADAVIA;7523;36839/05;216 personas;"""C.C""";RENOVACIÓN 2012;12;38769;29;40977;;;12;38769
71;PISO 1;JUNIN;1787;76735/05;150 personas;"""C.C""";"BAJA INSC: Disp.Conjunta N°005/2010";45;38799;;;;;45;38799
72;CROBAR;AV. LIBERTADOR;3883;62123/05;2258 personas;"""C""";RENOVADO 2012;57;38806;102;41123;;;89;39730
73;ESPERANTO;AV JUAN B. JUSTO;1625;86918/05;572 personas;"""C.C""";RENOVADO 2012;59;38810;48;40998;;;8;40200
74;MÁGICO;AV. RIVADAVIA;10925;61559/05;1320 personas;"""C""";RENOVADO 2012;74;38811;57;41003;;;58;39195
75;MUNDO LATINO;ESMERALDA ;565 P.B.;10631/05;300 personas;"""C.C""";RENOVADO 2012;62;38819;60;41011;;;102;40129
76;DORSIA;"A.  MOREAU DE JUSTO";2092;12648/06;679 personas;"""C""";RENOVADO 2012;65;38828;114;41145;;;83;40347
77;LA MADELEINE;"A.  MOREAU DE JUSTO";102/112;80621/05;205  personas;"""C.C""";RENOVADO 2012;75;38869;82;41072;;;75;38869
78;LA CITY;"AV. ALVAREZ THOMAS";1391/93;31391/06;940 personas;"""C""";RENOVADO 2012;85;38891;130;41199;;;85;38891
79;BRUJAS;J.L. BORGES;1640;27022/05;232 personas;"""C""";RENOVADO 2012;94;38915;105;41131;;;94;38915
80;CHAPA BAR(EX GALLERY);AZCUENAGA;1775 1º;31389/06;254 personas;"""C.C""";RENOVADO 2012;100;38940;112;41145;;;100;38940
81;UNI CLUB;GUARDIA VIEJA;3360;30099/06;630 personas;"""C""";RENOVADO 2012;101;38940;107;41134;;;97;39402
82;POR VOS BS AS;BALCARCE ;563 P.B;38142/06;586 personas;"""C""";"BAJA INSC: Disp. Nº 002/2010";122;39023;98;39764;;;83;39689
83;LO DE CELIA;"HUMBERTO PRIMO";1783 1°P;9853/06;150 personas;"""C.C""";RENOVADO 2011;123;39023;121;40851;;;123;39023
84;CONTRAMANO;"RODIGUEZ PEÑA ";1082 PB;26278/06;335 personas;C C;RENOVADO 2011;130;39066;141;40883;;;56;39195
85;KIMIA;SANTA FE ;4999;81034/06;958  personas   ;C;INSCRIPCION VENCIDA;3;39127;79;40032;;;77;39276
86;"KORY MEGADISCO";AV. SAENZ;459;83809/06;2346 personas;C;RENOVADO 2012;5;39136;9;40956;;;90;39744
87;SEU DISCO;AV. BOYACA ;28;72,693/05;186 personas;"""C.C""";RENOVADO 2012;34;39157;41;40984;;;34;39157
88;KIKA;HONDURAS;5339/47;44,991/06;1100 personas;"""C""";RENOVADO 2012;35;39157;47;40991;;;35;39157
89;LA VENTANA;BALCARCE ;425/31;89485/06;449 personas;C C;BAJA INSC: DISP. N° 113/12;59;39212;75;41057;;;59;39212
90;COCOLICHE;AV. RIVADAVIA;878;21782/07;268 personas;C;RENOVADO 2012;62;39213;68;41040;;;62;39213
91;"LOCOS X EL FUTBOL";VICENTE LOPEZ ;2056/69;11045/07;300 personas;CC;"BAJA INSC: Disp.Nº 003/2010";75;39265;72;39647;;;75;39265
92;JET LOUNGE;"AV.RAFAEL OBLIGADO";4801;83133/05;688 personas;C;RENOVADO 2012;81;39303;104;41130;;;109;39801
93;BLACK;AYACUCHO;1981;28278/07;210 personas;C C;RENOVADO 2012;88;39325;115;41148;;;88;39325
94;PORTO SOHO;SCALABRINI ORTIZ;1425/29;64702/07;604personas;"""C""";RENOVADO 2011;96;39402;134;40865;;;134;40865
95;ACQUA LOUNGE;JUANA MANSO;305 PB;19740/07;214 personas;C C;RENOVADO 2011;101;39422;143;40891;;;101;39422
96;JADE RESTO;JURAMENTO ;1531/43;81882/07;238 personas;C C;RENOVADO 2012;104;39437;95;41096;;;104;39437
97;PRIVILEGE BA;"AV. RAFAEL OBLIGADO";1221;47762/07;2966 personas;"""C""";RENOVADO 2012;526;39505;84;41074;;;526;39498
98;MAIS- UM;"AV. JUAN B. ALBERDI";2829/39;66474/07;504 personas;"""C""";RENOVADO 2012;86;39695;118;41159;;;86;39695
99;VOX(exBED BAIRES);"AV. HIPOÍLITO IRIGOYEN";968;48523/08;532 personas;"""C""";RENOVADO 2012;94;39759;35;40977;;;94;39759
100;MORENA;AV. RIVADAVIA ;7217;54743/08;922 personas;"""C""";SUSPENDIDO;95;39757;127;40858;;;95;39757
101;THE SUB;AV. CÓRDOBA ;543;40833/08;415 personas;C C;RENOVADO 2011;100;39766;131;40861;;;100;39766
102;CLUB 947;CHACABUCO;947/55;36345/08;1702 personas;ART 1º;RENOVADO 2011;103;39769;136;40865;;;25;40606
